seed,rescued,dead,unreachable,candidate,rescue_rate,firefighter_deaths,burnt_cells,terminal_step,steps_run,all_terminal,total_victims,scenario,wind

101,2,2,0,1,40.0,0,713,,240,False,5,3UAV/5V/3FF,north

202,3,2,0,0,60.0,1,972,132,240,True,5,3UAV/5V/3FF,north

303,3,2,0,0,60.0,1,1421,141,240,True,5,3UAV/5V/3FF,north

404,3,1,0,1,60.0,1,630,,240,False,5,3UAV/5V/3FF,north

505,2,3,0,0,40.0,1,1006,222,240,True,5,3UAV/5V/3FF,north
